"date","temp","temp_lag_1","temp_lag_2","temp_lag_3","temp_lag_4","prec","prec_lag_1","prec_lag_2","prec_lag_3","prec_lag_4","snow","pdsi","pdsi_lag_1","pdsi_lag_2","pdsi_lag_3","pdsi_lag_4","month","year","predflow","flow"
1980-08-01,67.7633333333333,42.14,28.13,47.3233333333333,65.75,3.62,4.68,4.94,3.26,7.01,25,-1.28333333333333,1.92666666666667,1.36666666666667,-0.326666666666667,-0.753333333333333,"8",1980,8.27421587009692,NA
1981-08-01,65.9466666666667,45.7633333333333,34.69,47.96,67.7633333333333,7.41,7.1,0.58,1.94,3.62,11.8,-2.38,-2.63333333333333,-2.02666666666667,-1.53,-1.28333333333333,"8",1981,2.846529194853,NA
1982-08-01,64.74,42.7733333333333,28.3333333333333,49.2966666666667,65.9466666666667,9.04,4.26,1.05,1.25,7.41,7.7,0.89,-2.26,-2.59333333333333,-2.36333333333333,-2.38,"8",1982,4.43124204132994,NA
1983-08-01,65.0866666666667,38.0566666666667,31.5,44.36,64.74,6.88,9.72,0.85,4.5,9.04,67.7,6.12333333333333,3.49666666666667,1.96,2.24666666666667,0.89,"8",1983,23.1791094141067,NA
1984-08-01,64.7733333333333,40.5433333333333,22.53,46.5866666666667,65.0866666666667,7.84,5.77,1.84,3.61,6.88,44.8,5.13666666666667,5.55666666666667,5.4,5.73333333333333,6.12333333333333,"8",1984,10.6259563347763,NA
1985-08-01,65.6933333333333,45,23.25,42.6433333333333,64.7733333333333,12.22,2.51,1.19,2.31,7.84,6.6,-3.16333333333333,-1.48666666666667,-0.243333333333333,3.13,5.13666666666667,"8",1985,3.12537921811939,NA
1986-08-01,66.64,45.5466666666667,31.1633333333333,41.3666666666667,65.6933333333333,5.01,3.83,1.43,3.56,12.22,20.7,-0.263333333333333,-0.903333333333333,1.35,1.07666666666667,-3.16333333333333,"8",1986,5.69938591769791,NA
1987-08-01,65.7833333333333,44.5433333333333,29.7866666666667,45.0233333333333,66.64,5.07,6.36,1.17,4.91,5.01,18.1,-1,0.0533333333333333,1.42,1.26666666666667,-0.263333333333333,"8",1987,8.34225275074559,NA
1988-08-01,68.5866666666667,43.2866666666667,25.16,47.1733333333333,65.7833333333333,5.61,6.27,2.02,2.02,5.07,25.7,-2.29666666666667,-0.0666666666666668,0.73,-0.833333333333333,-1,"8",1988,5.0156855526731,NA
1989-08-01,65.96,45.27,25.4033333333333,47.6733333333333,68.5866666666667,6,2.34,2.06,2.17,5.61,9.3,-4.63,-3.33666666666667,-2.87333333333333,-3.08333333333333,-2.29666666666667,"8",1989,1.93898181374772,NA
